id,matricule,groupe_code
120,21,2 - HGS5
121,21,2 - EPG1
122,21,2 - N
123,21,2 - CPC3
1286,210,6 - Hop2
1287,210,6 - Sc3
1288,210,6 - LM1 - A3
1289,210,6 - H4
1290,210,6 - EPF2
1291,210,6PAV-tout sauf SO
1292,210,6 - M4h3
1293,210,6 - CPC3
1294,210,6 - LM2 - N2
1295,211,5 - H3
1296,211,5PAX - tout sauf LA
1297,211,5 - ScOp1
1298,211,5 - CPC2
1299,211,5 - Phy
1300,211,5 - LM2 - E3
1301,211,5 - M
1302,211,1
1303,211,5 - LM1 - A4
1304,211,5 - EPG2
1305,211,5 - M6h1
1306,212,1 - CPC1
1307,212,1 - EPF1
1308,213,1 - M
1309,213,1
1310,213,1 - EPF1
1311,213,2 - DI
1312,214,5
1313,214,6 - Sc2
1314,214,6 - LM1 - A4
1315,214,6 - CPC4
1316,214,6 - EPG3
1317,214,6 - LM3 - D
1318,214,6 - M6h2
1319,214,6 - H5
1320,214,6 - LM2 - N2
1321,215,5
1322,215,5 - H4
1323,215,6 - LM2 - D
1324,215,5 - M
1325,215,5 - M4h2
1326,215,5 - Commu1
1327,215,5 - EPG1
1328,215,5 - LM1 - A2
1329,215,5 - Sc4
1330,216,4 - CPC3
1331,216,4 - ScOp3
1332,216,4 - EPG2
1333,217,2 - RC
1334,217,2 - EPF1
1335,217,2 - AI
1336,217,2 - AI1
1337,218,4 - ScOp2
1338,218,4 - LM1 - AI
1339,218,4 - CPC3
1340,218,4 - LM2 - E4
1341,218,4 - EPF4
1342,219,2 - CPC2
1343,219,2 - EPF3
124,22,6 - ScOp2
125,22,6 - Phy
126,22,6 - EPG2
127,22,2
128,22,6PAV-tout sauf SO
129,22,6 - M4h3
130,22,6 - CPC3
131,22,6 - LM1 - AI
132,22,6 - LM2 - N2
1344,220,6 - Sc4
1345,220,6 - LM2 - E3
1346,220,6 - H4
1347,220,6 - EPG2
1348,220,6 - M
1349,220,6 - LM1 - N
1350,220,6 - Commu1
1351,220,6PAV-tout sauf SO
1352,220,6 - M4h3
1353,221,2 - HGS1
1354,221,2 - EPF1
1355,221,2 - A1
1356,221,2 - RI
1357,222,4 - ScOp2
1358,222,4 - LM1 - AI
1359,222,4 - CPC3
1360,222,4 - LM2 - E4
1361,222,4 - EPF4
1362,223,5 - H6
1363,223,5 - CPC7
1364,223,5 - Sc5
1365,223,5 - LM2 - E4
1366,223,5 - EC
1367,223,5 - EPG1
1368,223,5 - LM1 - A2
1369,223,5 - M6h2
1370,224,5
1371,224,6 - Sc2
1372,224,6 - H2
1373,224,6 - LM1 - A2
1374,224,6 - LM2 - D
1375,224,6 - CPC4
1376,224,6 - M4h2
