id,groupe_code,classe,option,LM1,LM2,LM3
150,3 - SO1,3PAT,,,,
151,3 - SO1,3PAU,,,,
152,3 - SO1,3PAW,,,,
153,3 - SO1,3PAS,,,,
154,3 - L+LS,3PAT,,,,
155,3 - L+LS,3PAS,,,,
156,3 - ScOp1,3PAW,,,,
157,3 - ScOp1,3PAZ,,,,
158,6 - SO,6PAV,,,,
159,5+6 - L,5PAW,,,,
160,5+6 - L,5PAX,,,,
161,5+6 - L,6PAV,,,,
162,5 - LM2 - N1,5PAW,,,,
163,6 - M6h2,6PAZ,,,,
164,6 - CPC1,6PAX,,,,
165,5 - M4h4,5PAV,,,,
166,3 - SC2,3PAT,,,,
167,3 - SC2,3PAU,,,,
168,3 - SC2,3PAW,,,,
169,3 - SC2,3PAS,,,,
170,6 - LM2 - A,6PAV,,,,
171,6 - LM2 - A,6PAW,,,,
172,6 - LM2 - A,6PAZ,,,,
173,6 - LM2 - N2,6PAV,,,,
174,6 - LM2 - N2,6PAZ,,,,
175,5+6 - LM2 - D,5PAU,,,,
176,5+6 - LM2 - D,6PAY,,,,
177,5+6 - LM2 - I,5PAU,,,,
178,5+6 - LM2 - I,6PAY,,,,
179,5+6 - LM2 - I,6PAZ,,,,
180,6 - LM2 - E2,6PAY,,,,
181,6 - LM2 - E2,6PAZ,,,,
182,6 - LM2 - E3,6PAV,,,,
183,6 - LM2 - E3,6PAW,,,,
184,5 - EPF4,5PAT,,,,
185,5 - EPG4,5PAT,,,,
186,6 - LM1 - A1,6PAX,,,,
187,5 - H2,5PAV,,,,
188,1 - EPG1,1PAA,,,,
189,1 - EPG1,1PAB,,,,
190,3 - SO2,3PAX,,,,
191,3 - SO2,3PAY,,,,
192,6 - LM2 - N1,6PAU,,,,
193,3 - HG3,3PAT,,,,
194,3 - HG3,3PAX,,,,
195,4 - HG4,4PAZ,,,,
196,4 - HG4,4PAX,,,,
197,4 - HG6,4PAW,,,,
198,4 - HG6,4PAX,,,,
199,4 - HG6,4PAV,,,,
200,4 - HG6,4PAY,,,,
201,4 - HG6,4PAZ,,,,
202,4 - HG5,4PAV,,,,
203,4 - HG5,4PAY,,,,
204,4 - HG5,4PAW,,,,
205,5 - ScOp1,5PAX,,,,
206,2 - EPG2,2PAB,,,,
207,2 - EPG2,2PAC,,,,
208,2 - EPG2,2PAG,,,,
209,2 - EPF2,2PAB,,,,
210,2 - EPF2,2PAC,,,,
211,2 - EPF2,2PAG,,,,
212,4 - LM1 - AI,4PAV,,,,
213,4 - LM1 - AI,4PAW,,,,
214,4 - LM1 - AI,4PAX,,,,
215,4 - LM1 - AI,4PAY,,,,
216,4 - LM1 - AI,4PAZ,,,,
217,3 - LM1 - A5,3PAV,,,,
218,3 - LM1 - A5,3PAW,,,,
219,3 - LM1 - A6,3PAY,,,,
220,4 - LM1 - A5,4PAW,,,,
221,4 - LM1 - A5,4PAX,,,,
222,4 - LM1 - A5,4PAY,,,,
223,4 - LM1 - A4,4PAV,,,,
224,4 - LM1 - A4,4PAZ,,,,
225,4 - LM1 - A4,4PAW,,,,
226,4 - LM1 - N,4PAV,,,,
227,4 - LM1 - N,4PAW,,,,
228,4 - LM1 - N,4PAX,,,,
229,4 - LM1 - N,4PAY,,,,
230,4 - LM1 - N,4PAZ,,,,
231,6 - M4h2,6PAY,,,,
232,6 - M4h2,6PAZ,,,,
233,6 - M4h1,6PAU,,,,
234,6 - M6h1,6PAU,,,,
235,6 - M6h1,6PAY,,,,
236,5 - Sc4,5PAU,,,,
237,5 - Sc4,5PAZ,,,,
238,5 - Sc4,5PAT,,,,
239,5 - EPF3,5PAV,,,,
240,5 - EPF3,5PAY,,,,
241,5 - EPG3,5PAV,,,,
242,5 - EPG3,5PAY,,,,
243,3 - LM2 - N1,3PAT,,,,
244,3 - LM2 - E2,3PAX,,,,
245,3 - LM2 - E2,3PAT,,,,
246,6 - M4h3,6PAV,,,,
247,6 - H5,6PAZ,,,,
248,5 - Sc3,5PAT,,,,
249,5 - Sc3,5PAZ,,,,
250,5 - Sc5,5PAW,,,,
251,5 - Sc5,5PAZ,,,,
252,5 - LM2 - E1,5PAV,,,,
253,2 - EPG3,2PAE,,,,
254,2 - EPG3,2PAF,,,,
255,2 - EPF3,2PAE,,,,
256,2 - EPF3,2PAF,,,,
257,5 - H4,5PAU,,,,
258,5 - H4,5PAW,,,,
259,5 - H5,5PAW,,,,
260,5 - H5,5PAY,,,,
261,5 - H6,5PAW,,,,
262,5 - H6,5PAZ,,,,
263,6 - Sc2,6PAY,,,,
264,6 - Sc2,6PAZ,,,,
265,2 - AI,2PAA,,,,
266,2 - AI,2PAB,,,,
267,2 - AI,2PAC,,,,
268,2 - A1,2PAA,,,,
269,2 - A1,2PAB,,,,
270,2 - HGS2,2PAC,,,,
271,2 - HGS2,2PAG,,,,
272,2 - HGS5,2PAD,,,,
273,4 - Sc3,4PAU,,,,
274,4 - Sc3,4PAV,,,,
275,4 - Sc3,4PAY,,,,
276,5 - Sc1,5PAV,,,,
277,3 - EPG1,3PAX,,,,
278,3 - EPG1,3PAY,,,,
279,3 - EPF1,3PAX,,,,
280,3 - EPF1,3PAY,,,,
281,1 - AI,1PAC,,,,
282,1 - AI,1PAD,,,,
283,1 - AI,1PAE,,,,
284,1 - AI,1PAF,,,,
285,1 - A4,1PAD,,,,
286,1 - A4,1PAE,,,,
287,1 - A3,1PAC,,,,
288,1 - A3,1PAF,,,,
289,1 - N,1PAD,,,,
290,4 - SO1,4PAT,,,,
291,4 - SO1,4PAZ,,,,
292,4 - EC1,4PAT,,,,
293,4 - EC1,4PAY,,,,
294,5+6 - LM1 - NI,5PAT,,,,
295,5+6 - LM1 - NI,6PAW,,,,
296,6 - LM1 - AI,6PAU,,,,
297,6 - LM1 - AI,6PAV,,,,
298,6 - LM1 - AI,6PAY,,,,
299,5+6 - LM1 - DI,5PAT,,,,
300,5+6 - LM1 - DI,6PAW,,,,
301,5 - H1,5PAT,,,,
302,6 - H2,6PAW,,,,
303,6 - H2,6PAY,,,,
304,6 - H4,6PAV,,,,
305,5 - EPF1,5PAU,,,,
306,5 - EPF1,5PAZ,,,,
307,5 - EPG1,5PAU,,,,
308,5 - EPG1,5PAZ,,,,
309,3 - ScOp3,3PAV,,,,
310,1 - A1,1PAA,,,,
311,2 - HGS1,2PAA,,,,
312,2 - HGS1,2PAB,,,,
313,5 - Commu1,5PAU,,,,
314,5 - Commu1,5PAV,,,,
315,5 - M4h5,5PAW,,,,
316,3 - LM1 - A4,3PAX,,,,
317,3 - LM1 - A4,3PAT,,,,
318,3 - HG6,3PAY,,,,
319,5 - SO,5PAY,,,,
320,5 - SO,5PAT,,,,
321,5 - M6h2,5PAT,,,,
322,5 - M6h2,5PAU,,,,
323,5 - M6h2,5PAZ,,,,
324,6 - Sc3,6PAU,,,,
325,6 - Sc3,6PAV,,,,
326,6 - Sc4,6PAV,,,,
327,6 - Sc4,6PAW,,,,
328,6 - EPF3,6PAX,,,,
329,6 - EPF3,6PAZ,,,,
330,6 - EPG3,6PAX,,,,
331,6 - EPG3,6PAZ,,,,
332,4 - CPC2,4PAS,,,,
333,3 - EPF2,3PAS,,,,
